,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
320,320,True,,,,,,,100000.0,3.0,,0,,,residential,6.77818093495e+12,,0.0,San Rafael,,,,,,,,,,,0.0,0.0,,,831103,,,,,,,,,,2012.0,,,0.0,,0.0,82.0,,6.0,,False,,,,,,,,M,-122.529723639,37.9941282604,2011.0,
1134,1134,True,,,,,,,85000.0,4.0,,0,,,office,9.02134637891e+12,,239.0,San Rafael,,,,,,,,,,,0.0,85000.0,,,756532,,,,sra1,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.524805315,37.9702414923,2016.0,
1151,1151,True,,,,,,,10500.0,4.0,,0,,,office,9.55241217594e+12,,29.0,San Rafael,,,,,,,,,,,0.0,10500.0,,,754708,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.532319667,37.9728106118,2015.0,
1822,1822,,1000.0,1000.0,4776596.15284,3795980.54051,916.897871094,9090184.39937,19828.1284883,3.0,3.0,1,,0.0,residential,3.39497205583e+12,1.0,0.0,San Rafael,San Rafael,68364.0,3994261.82539,70.0,,,-97766.2901194,2.0,2.29568411387,11.0,0.0,0.0,1954.0,,757852,9914.06424417,surface,0.0,sra1,sra1,1.0,1.0,413287.115222,OBAG,2012.0,1.0,654.927050781,0.0,654.927050781,13879.6899418,14.0,1.14013931417e-07,7.0,1.0,True,0.0,10000.0,33.0,8770857.97824,3.0,6088.27275127,b1,S,-122.517083909,37.9738090525,2025.0,68364SRA1b1NANA
1910,1910,,1000.0,1000.0,2873066.53608,2556283.69921,926.184047852,5523014.51667,11926.3866172,3.0,2.0,0,,0.0,residential,8.7243688558e+12,0.0,0.0,San Rafael,San Rafael,68364.0,2675547.56538,70.0,,,-26636.4191726,2.0,2.29568411387,6.0,0.0,0.0,1951.0,,758790,5963.19330859,surface,0.0,sra1,sra1,1.0,1.0,0.0,OBAG,2012.0,1.0,661.56003418,0.0,661.56003418,8348.47063203,8.0,1.80225184472e-07,7.0,1.0,True,0.0,10000.0,33.0,5548614.10146,2.0,4058.84850085,b1,S,-122.519946523,37.9773633934,2025.0,68364SRA1b1NANA
2051,2051,,1000.0,1000.0,1663248.22362,1442145.45047,916.50913269,3163931.47962,6904.30977011,3.0,2.0,0,,0.0,residential,2.52961079124e+12,0.0,0.0,San Rafael,San Rafael,68364.0,1511188.54817,70.0,,,-10930.7775196,2.0,2.29568411387,3.0,0.0,0.0,1924.0,,755416,3452.15488506,surface,0.0,sra1,sra1,1.0,1.0,0.0,OBAG,2012.0,1.0,654.649380493,0.0,654.649380493,4833.01683908,5.0,3.15016512184e-07,7.0,1.0,True,0.0,10000.0,33.0,3174436.77179,2.0,2314.0,b1,S,-122.531700872,37.9702807876,2025.0,68364SRA1b1NANA
2095,2095,,1000.0,1000.0,9534744.80228,5753874.0812,785.516109467,18081164.0255,39579.6795445,3.0,0.0,2,,0.0,residential,1.17070788661e+13,2.0,0.0,San Rafael,San Rafael,68364.0,7732858.05843,70.0,,,-8725.67156515,2.0,2.29568411387,28.0,0.0,0.0,1961.0,,756693,19789.8397723,surface,0.0,sra1,sra1,1.0,1.0,821947.185767,OBAG,2012.0,1.0,652.613528442,0.0,652.613528442,27705.7756812,28.0,5.79119179464e-08,7.0,1.0,True,0.0,10000.0,33.0,17267602.8607,0.0,10772.0,b1,S,-122.521745524,37.9647705812,2025.0,68364SRA1b1NANA
3326,3326,,1000.0,1000.0,4950674.54963,4110469.78108,705.839385986,9516886.24735,20550.7453285,3.0,0.0,1,,0.0,residential,1.68739308592e+13,1.0,0.0,San Rafael,San Rafael,68364.0,4291788.84938,70.0,,,-151390.179915,2.0,2.29568411387,14.0,0.0,0.0,1965.0,,758063,10275.3726642,surface,0.0,sra1,sra1,1.0,1.0,419920.098621,OBAG,2012.0,1.0,661.56003418,0.0,661.56003418,14385.5217299,14.0,1.08196262926e-07,7.0,1.0,True,0.0,10813.5842796,33.0,9242463.39901,0.0,8564.0,b1,S,-122.520176465,37.9724015844,2025.0,68364SRA1b1NANA
3389,3389,,1000.0,1000.0,2869449.44619,2634681.30172,929.590049438,5536346.31081,11911.3717152,3.0,2.0,0,,0.0,residential,5.43785290771e+11,0.0,0.0,San Rafael,San Rafael,68364.0,2753795.01887,70.0,,,-90417.7033007,2.0,2.29568411387,6.0,0.0,0.0,1974.0,,757613,5955.6858576,surface,0.0,sra1,sra1,1.0,1.0,0.0,OBAG,2012.0,1.0,663.992892456,0.0,663.992892456,8337.96020064,8.0,1.77833278673e-07,7.0,1.0,True,0.0,11302.2129126,33.0,5623244.46507,2.0,4168.0,b1,S,-122.520108987,37.9754066598,2025.0,68364SRA1b1NANA
3493,3493,,1000.0,1000.0,2400894.0615,2184827.00181,705.839385986,4604583.19287,9966.35143834,3.0,0.0,0,,0.0,residential,3.36917081111e+12,0.0,0.0,San Rafael,San Rafael,68364.0,2272760.04405,70.0,,,-71868.422789,2.0,2.29568411387,7.0,0.0,0.0,1962.0,,758139,4983.17571917,surface,0.0,sra1,sra1,1.0,1.0,0.0,OBAG,2012.0,1.0,660.018466187,0.0,660.018466187,6976.44600684,7.0,2.13965342196e-07,7.0,1.0,True,0.0,11978.0704648,33.0,4673654.10555,0.0,4552.0,b1,S,-122.520626959,37.9713595342,2025.0,68364SRA1b1NANA
